First team,Second team,Probability First Team Wins
team1,team2,0.545873410155468
team1,team3,0.5075066160337935
team1,team4,0.5094693942277507
team1,team5,0.5221867335455991
team1,team6,0.5203135525366298
team1,team7,0.5513431072002014
team1,team8,0.5612615237594102
team1,team9,0.5308139549017288
team1,team10,0.5026289091495042
team1,team11,0.5305632009332562
team1,team12,0.5907458676311289
team1,team13,0.5225357723188236
team1,team14,0.5063149567416856
team1,team15,0.6030766805015805
team1,team16,0.48670098428483016
team1,team17,0.5532271243016107
team1,team18,0.5843189146731101
team1,team19,0.5284353710757181
team1,team20,0.5083220272536244
team1,team21,0.5567837273350139
team1,team22,0.4603741117169074
team1,team23,0.533768312813441
team1,team24,0.5795068502691753
team1,team25,0.5084992714352496
team1,team26,0.490668834495622
team1,team27,0.5179941014247417
team1,team28,0.6022634047676699
team1,team29,0.473900082315895
team1,team30,0.5273639217108368
team1,team31,0.4746172953195129
team1,team32,0.5760114837954279
team1,team33,0.5145682481732597
team1,team34,0.5022942739479919
team1,team35,0.5720735761184218
team1,team36,0.49809629904895925
team1,team37,0.5785696575932928
team1,team38,0.5243103002182714
team1,team39,0.5735465462669609
team1,team40,0.5503340528886699
team1,team41,0.508058146605603
team1,team42,0.5788655305142303
team1,team43,0.5729399736209778
team1,team44,0.5693160702215918
team1,team45,0.5587844090827698
team1,team46,0.5231937817150385
team1,team47,0.5721152046194428
team1,team48,0.5880751098954741
team1,team49,0.5096495853104955
team1,team50,0.498560799149707
team1,team51,0.5542652552569445
team1,team52,0.5417838172443519
team1,team53,0.4832515315727782
team1,team54,0.6070957597057964
team1,team55,0.5109310113652812
team1,team56,0.5728398188020841
team1,team57,0.5147726859951888
team1,team58,0.5679864689898299
team1,team59,0.47061895841748314
team1,team60,0.5422319380006588
team1,team61,0.5147830424155203
team1,team62,0.5554493575347088
team1,team63,0.533013316466836
team1,team64,0.588762313845842
team1,team65,0.5246566486969368
team1,team66,0.465032468671262
team1,team67,0.5847397597278067
team1,team68,0.5269972547404124
team2,team3,0.4615802859377508
team2,team4,0.463532619313563
team2,team5,0.4762164977913131
team2,team6,0.47434451392458843
team2,team7,0.505521717886985
team2,team8,0.5155630595126133
team2,team9,0.4848549119228638
team2,team10,0.4567346282931195
team2,team11,0.48460344453896187
team2,team12,0.5456322940195434
team2,team13,0.47656545632011155
team2,team14,0.46039565487693207
team2,team15,0.5583060663505338
team2,team16,0.4409716201879919
team2,team17,0.5074262450849094
team2,team18,0.539049680575177
team2,team19,0.4824704970616611
team2,team20,0.46239118697097925
